num_of_points,area
71100,0.946203
71600,0.945915
72100,0.943031
72600,0.944576
73100,0.945229
73600,0.942714
74100,0.946677
74600,0.945074
75100,0.946421
75600,0.944263
76100,0.945631
76600,0.941645
77100,0.946936
77600,0.945474
78100,0.945423
78600,0.942064
79100,0.945228
79600,0.946357
80100,0.945896
80600,0.94572
81100,0.943819
81600,0.947396
82100,0.94426
82600,0.944295
83100,0.93941
83600,0.942479
84100,0.94352
84600,0.945804
85100,0.944668
85600,0.943765
86100,0.942436
86600,0.943158
87100,0.945522
87600,0.948687
88100,0.941189
88600,0.942805
89100,0.944487
89600,0.944182
90100,0.942328
90600,0.945447
91100,0.946995
91600,0.94551
92100,0.942522
92600,0.943777
93100,0.941756
93600,0.944124
94100,0.945563
94600,0.94375
95100,0.944808
95600,0.946993
96100,0.943835
96600,0.94661
97100,0.944065
97600,0.944301
98100,0.944801
98600,0.943725
99100,0.943277
99600,0.947151
100100,0.945867
100600,0.94293
101100,0.946142
101600,0.941941
102100,0.944662
102600,0.944079
103100,0.948715
103600,0.94369
104100,0.945605
104600,0.946618
105100,0.940176
105600,0.943312
106100,0.947467
106600,0.944887
107100,0.942822
107600,0.943239
108100,0.945537
108600,0.944038
109100,0.943721
109600,0.944469
110100,0.944993
110600,0.944213
111100,0.944307
111600,0.944097
112100,0.947368
112600,0.944671
113100,0.945181
113600,0.943783
114100,0.947261
114600,0.946182
115100,0.943788
115600,0.948356
116100,0.945596
116600,0.945497
117100,0.943467
117600,0.947034
118100,0.942919
118600,0.943961
119100,0.94449
119600,0.946645
120100,0.946024
120600,0.942517
121100,0.9436
121600,0.945148
122100,0.945547
122600,0.944484
123100,0.945268
123600,0.942021
124100,0.946243
124600,0.942175
125100,0.945953
125600,0.946497
126100,0.947373
126600,0.945389
127100,0.945663
127600,0.94373
128100,0.947863
128600,0.943439
129100,0.945294
129600,0.942332
130100,0.944898
130600,0.945339
131100,0.941857
131600,0.945374
132100,0.944256
132600,0.943807
133100,0.945783
133600,0.943039
134100,0.944286
134600,0.946406
135100,0.94369
135600,0.943685
136100,0.944756
136600,0.945681
137100,0.944466
137600,0.943614
138100,0.943619
138600,0.945824
139100,0.943404
139600,0.944063
140100,0.946074
140600,0.944852
141100,0.94449
141600,0.943176
142100,0.944001
142600,0.941024
143100,0.944043
143600,0.944533
144100,0.944153
144600,0.944684
145100,0.94695
145600,0.94199
146100,0.94277
146600,0.946768
147100,0.943686
147600,0.945816
148100,0.945366
148600,0.945037
149100,0.945221
149600,0.945572
150100,0.943005
150600,0.946423
151100,0.945483
151600,0.943395
152100,0.946096
152600,0.943783
153100,0.946914
153600,0.944417
154100,0.942448
154600,0.94531
155100,0.945866
155600,0.944481
156100,0.947566
156600,0.943646
157100,0.942712
157600,0.945114
158100,0.944806
158600,0.94189
159100,0.945058
159600,0.944627
160100,0.944527
160600,0.943229
161100,0.945422
161600,0.944384
162100,0.941687
162600,0.944926
163100,0.945448
163600,0.944866
164100,0.94466
164600,0.945481
165100,0.945283
165600,0.942218
166100,0.944303
166600,0.945641
167100,0.944375
167600,0.945965
168100,0.945464
168600,0.946271
169100,0.945979
169600,0.9419
170100,0.945694
170600,0.942233
171100,0.942607
171600,0.945731
172100,0.942969
172600,0.947132
173100,0.943588
173600,0.943649
174100,0.944213
174600,0.944767
175100,0.944667
175600,0.946049
176100,0.944889
176600,0.945583
177100,0.944643
177600,0.945383
178100,0.94527
178600,0.944093
179100,0.94665
179600,0.944342
180100,0.942768
180600,0.946837
181100,0.945755
181600,0.943626
182100,0.944639
182600,0.944667
183100,0.944013
183600,0.945527
184100,0.945213
184600,0.943818
185100,0.943186
185600,0.944033
186100,0.944553
186600,0.945418
187100,0.946312
187600,0.944556
188100,0.946358
188600,0.94434
189100,0.943667
189600,0.945392
190100,0.943089
190600,0.94375
191100,0.943904
191600,0.944963
192100,0.943701
192600,0.947599
193100,0.943242
193600,0.940954
194100,0.945743
194600,0.945799
195100,0.943401
195600,0.946632
196100,0.94418
196600,0.945448
197100,0.94407
197600,0.943706
198100,0.94311
198600,0.94341
199100,0.944268
199600,0.943919
200100,0.944546
200600,0.944161
201100,0.94315
201600,0.945071
202100,0.944965
202600,0.945977
203100,0.945292
203600,0.943775
204100,0.9436
204600,0.944031
205100,0.944326
205600,0.943622
206100,0.945785
206600,0.944295
207100,0.943475
207600,0.943208
208100,0.94323
208600,0.94499
209100,0.945684
209600,0.94607
210100,0.945098
210600,0.944035
211100,0.945541
211600,0.944612
212100,0.943771
212600,0.946037
213100,0.945712
213600,0.944101
214100,0.944903
214600,0.944204
215100,0.94373
215600,0.944857
216100,0.94539
216600,0.943721
217100,0.944023
217600,0.942492
218100,0.943615
218600,0.945551
219100,0.945345
219600,0.943813
220100,0.944786
220600,0.94354
221100,0.943419
221600,0.944229
222100,0.943151
222600,0.945232
223100,0.943736
223600,0.946238
224100,0.943262
224600,0.945525
225100,0.944425
225600,0.945174
226100,0.944704
226600,0.944291
227100,0.945745
227600,0.945705
228100,0.943692
228600,0.942908
229100,0.945897
229600,0.943418
230100,0.944111
230600,0.944092
231100,0.943174
231600,0.943518
232100,0.942169
232600,0.944072
233100,0.94356
233600,0.944018
234100,0.944975
234600,0.945343
235100,0.946342
235600,0.943448
236100,0.944197
236600,0.945108
237100,0.944401
237600,0.944918
238100,0.945175
238600,0.941791
239100,0.944521
239600,0.943933
240100,0.944846
240600,0.944555
241100,0.943882
241600,0.945323
242100,0.944992
242600,0.945414
243100,0.943598
243600,0.945161
244100,0.944403
244600,0.943397
245100,0.944201
245600,0.945226
246100,0.945525
246600,0.943948
247100,0.942903
247600,0.946567
248100,0.944478
248600,0.943046
249100,0.943768
249600,0.945868
250100,0.945077
250600,0.944004
251100,0.94442
251600,0.945211
252100,0.945091
252600,0.944369
253100,0.943036
253600,0.944874
254100,0.945814
254600,0.943014
255100,0.945036
255600,0.944474
256100,0.944319
256600,0.943263
257100,0.944603
257600,0.944856
258100,0.945908
258600,0.945302
259100,0.944635
259600,0.945825
260100,0.945449
260600,0.944565
261100,0.943724
261600,0.945226
262100,0.944663
262600,0.945949
263100,0.942503
263600,0.943318
264100,0.945428
264600,0.946896
